analysis_family,suite,partition,comparison,metric,n,mean_difference,paired_effect_size_dz,rank_biserial_correlation,paired_t_statistic,paired_t_p,wilcoxon_statistic,wilcoxon_p,paired_t_p_holm,evidence_type,source_file,attack_type,client_count
fairfed_scaling,adult,iid,B5-B0,demographic_parity_gap,10,0.000242514820456,0.4801435450059821,0.4909090909090909,1.518347206046468,0.1632416574373748,14.0,0.193359375,1.0,derived_from_paired_measured_runs,outputs/revision_audit/fairfed-scaling-analysis/paired_tests.csv,,
fairfed_scaling,adult,iid,B5-B0,equal_opportunity_gap,10,-5.906374257347059e-05,-0.0283385135467976,0.0181818181818181,-0.0896142483114172,0.9305563487974736,27.0,0.9765625,1.0,derived_from_paired_measured_runs,outputs/revision_audit/fairfed-scaling-analysis/paired_tests.csv,,
fairfed_scaling,adult,iid,B5-B0,equalized_odds_gap,10,-5.906374257347059e-05,-0.0283385135467976,0.0181818181818181,-0.0896142483114172,0.9305563487974736,27.0,0.9765625,1.0,derived_from_paired_measured_runs,outputs/revision_audit/fairfed-scaling-analysis/paired_tests.csv,,
fairfed_scaling,adult,iid,B5-B0,subgroup_accuracy_gap,10,-0.0001439635245064,-0.4772580873775767,-0.509090909090909,-1.5092225878487993,0.1655197069748609,13.5,0.16796875,1.0,derived_from_paired_measured_runs,outputs/revision_audit/fairfed-scaling-analysis/paired_tests.csv,,
fairfed_scaling,adult,joint_dirichlet_0.3,B5-B0,accuracy,10,-0.1277954847277556,-0.7152511319690488,-1.0,-2.261822676035868,0.0500273427368209,0.0,0.001953125,1.0,derived_from_paired_measured_runs,outputs/revision_audit/fairfed-scaling-analysis/paired_tests.csv,,
fairfed_scaling,adult,joint_dirichlet_0.3,B5-B0,macro_f1,10,-0.0803174502064578,-0.7037851075920635,-0.6727272727272727,-2.225563923297582,0.0530798039608606,9.0,0.064453125,1.0,derived_from_paired_measured_runs,outputs/revision_audit/fairfed-scaling-analysis/paired_tests.csv,,
fairfed_scaling,adult,joint_dirichlet_0.3,B5-B0,demographic_parity_gap,10,0.0194698084704808,0.2147970736762548,-0.2363636363636363,0.6792479875559622,0.5140682261677343,21.0,0.556640625,1.0,derived_from_paired_measured_runs,outputs/revision_audit/fairfed-scaling-analysis/paired_tests.csv,,
fairfed_scaling,adult,joint_dirichlet_0.3,B5-B0,equal_opportunity_gap,10,-0.0194195759177585,-0.6323483143820365,-0.6363636363636364,-1.9996609480154452,0.0765946815458219,10.0,0.080078125,1.0,derived_from_paired_measured_runs,outputs/revision_audit/fairfed-scaling-analysis/paired_tests.csv,,
fairfed_scaling,adult,joint_dirichlet_0.3,B5-B0,equalized_odds_gap,10,0.0013195042368629,0.021586958661769,-0.3090909090909091,0.0682639571270906,0.9470680780507584,19.0,0.431640625,1.0,derived_from_paired_measured_runs,outputs/revision_audit/fairfed-scaling-analysis/paired_tests.csv,,
fairfed_scaling,adult,joint_dirichlet_0.3,B5-B0,subgroup_accuracy_gap,10,-0.0149104600395758,-0.2529288337959109,0.0181818181818181,-0.79983120072525,0.4444059227191049,27.0,1.0,1.0,derived_from_paired_measured_runs,outputs/revision_audit/fairfed-scaling-analysis/paired_tests.csv,,
fairfed_scaling,compas,iid,B5-B0,accuracy,10,-0.0012626262626262,-0.1995570315713259,-0.2,-0.63105474286752,0.5436960446640681,18.0,0.6171875,1.0,derived_from_paired_measured_runs,outputs/revision_audit/fairfed-scaling-analysis/paired_tests.csv,,
fairfed_scaling,compas,iid,B5-B0,macro_f1,10,-0.0045985872696298,-0.416405175488037,-0.3818181818181818,-1.316788784024313,0.2204512409924558,17.0,0.322265625,1.0,derived_from_paired_measured_runs,outputs/revision_audit/fairfed-scaling-analysis/paired_tests.csv,,
